	BbigeminaBOND	BbovisT2Bo	BmicrotiRI	Candersoni30847	Ccayetanensis	CfelisWinnie	ChominisTU502	CmurisRN66	CparvumIowaII	Cubiquitum39726	CveliaCCMP2878	EacervulinaHoughton	EfalciformisB	EmaximaW	EmitisH	EnecatrixH	EtenellaH	GniphandrodesUnknown	HhammondiH	NcaninumL	PbergheiANKA	Pchabaudichabaudi	PcoatneyiHackeri	PcynomolgiB	Pfalciparum3D7	PfragileNilgiri	PgaboniSY75	Pgallinaceum8A	PinuiSanAntonio1	PknowlesiH	PmalariaeUG01	PovalecurtisiGH01	PreichenowiCDC	PrelictumSGS1	PvinckeipetteriCR	PvivaxSal1	Pyoeliiyoelii17X	SneuronaSN3	TannulataAnkara	TgondiiVEG	TorientalisShintoku	TparvaMuguga	VbrassicaformisCCMP3155
OG0015380	BBBOND_0100020-t26_1-p1																																										
OG0015381	BBBOND_0100040-t26_1-p1																																										
OG0015382	BBBOND_0100150-t26_1-p1																																										
OG0015383	BBBOND_0100170-t26_1-p1																																										
OG0015384	BBBOND_0100180-t26_1-p1																																										
OG0015385	BBBOND_0100200-t26_1-p1																																										
OG0015386	BBBOND_0100230-t26_1-p1																																										
OG0015387	BBBOND_0100350-t26_1-p1																																										
OG0015388	BBBOND_0100360-t26_1-p1																																										
OG0015389	BBBOND_0100370-t26_1-p1																																										
OG0015390	BBBOND_0100520-t26_1-p1																																										
OG0015391	BBBOND_0100820-t26_1-p1																																										
OG0015392	BBBOND_0101150-t26_1-p1																																										
OG0015393	BBBOND_0101160-t26_1-p1																																										
OG0015394	BBBOND_0101250-t26_1-p1																																										
OG0015395	BBBOND_0101280-t26_1-p1																																										
OG0015396	BBBOND_0101380-t26_1-p1																																										
OG0015397	BBBOND_0101430-t26_1-p1																																										
OG0015398	BBBOND_0101570-t26_1-p1																																										
OG0015399	BBBOND_0101620-t26_1-p1																																										
OG0015400	BBBOND_0101740-t26_1-p1																																										
OG0015401	BBBOND_0101790-t26_1-p1																																										
OG0015402	BBBOND_0101970-t26_1-p1																																										
OG0015403	BBBOND_0102010-t26_1-p1																																										
OG0015404	BBBOND_0102070-t26_1-p1																																										
OG0015405	BBBOND_0102240-t26_1-p1																																										
OG0015406	BBBOND_0102470-t26_1-p1																																										
OG0015407	BBBOND_0102490-t26_1-p1																																										
OG0015408	BBBOND_0102500-t26_1-p1																																										
OG0015409	BBBOND_0102510-t26_1-p1																																										
OG0015410	BBBOND_0102540-t26_1-p1																																										
OG0015411	BBBOND_0102550-t26_1-p1																																										
OG0015412	BBBOND_0102720-t26_1-p1																																										
OG0015413	BBBOND_0102730-t26_1-p1																																										
OG0015414	BBBOND_0102840-t26_1-p1																																										
OG0015415	BBBOND_0102980-t26_1-p1																																										
OG0015416	BBBOND_0103010-t26_1-p1																																										
OG0015417	BBBOND_0103270-t26_1-p1																																										
OG0015418	BBBOND_0103410-t26_1-p1																																										
OG0015419	BBBOND_0103420-t26_1-p1																																										
OG0015420	BBBOND_0103550-t26_1-p1																																										
OG0015421	BBBOND_0104010-t26_1-p1																																										
OG0015422	BBBOND_0104100-t26_1-p1																																										
OG0015423	BBBOND_0104400-t26_1-p1																																										
OG0015424	BBBOND_0104490-t26_1-p1																																										
OG0015425	BBBOND_0104760-t26_1-p1																																										
OG0015426	BBBOND_0104840-t26_1-p1																																										
OG0015427	BBBOND_0105010-t26_1-p1																																										
OG0015428	BBBOND_0105570-t26_1-p1																																										
OG0015429	BBBOND_0105670-t26_1-p1																																										
OG0015430	BBBOND_0105740-t26_1-p1																																										
OG0015431	BBBOND_0105840-t26_1-p1																																										
OG0015432	BBBOND_0106230-t26_1-p1																																										
OG0015433	BBBOND_0106350-t26_1-p1																																										
OG0015434	BBBOND_0106450-t26_1-p1																																										
OG0015435	BBBOND_0106940-t26_1-p1																																										
OG0015436	BBBOND_0107060-t26_1-p1																																										
OG0015437	BBBOND_0107270-t26_1-p1																																										
OG0015438	BBBOND_0107480-t26_1-p1																																										
OG0015439	BBBOND_0107630-t26_1-p1																																										
OG0015440	BBBOND_0107640-t26_1-p1																																										
OG0015441	BBBOND_0107750-t26_1-p1																																										
OG0015442	BBBOND_0107810-t26_1-p1																																										
OG0015443	BBBOND_0107820-t26_1-p1																																										
OG0015444	BBBOND_0107920-t26_1-p1																																										
OG0015445	BBBOND_0108470-t26_1-p1																																										
OG0015446	BBBOND_0108480-t26_1-p1																																										
OG0015447	BBBOND_0108780-t26_1-p1																																										
OG0015448	BBBOND_0108830-t26_1-p1																																										
OG0015449	BBBOND_0108840-t26_1-p1																																										
OG0015450	BBBOND_0108860-t26_1-p1																																										
OG0015451	BBBOND_0108870-t26_1-p1																																										
OG0015452	BBBOND_0108880-t26_1-p1																																										
OG0015453	BBBOND_0108890-t26_1-p1																																										
OG0015454	BBBOND_0108950-t26_1-p1																																										
OG0015455	BBBOND_0108970-t26_1-p1																																										
OG0015456	BBBOND_0108990-t26_1-p1																																										
OG0015457	BBBOND_0109000-t26_1-p1																																										
OG0015458	BBBOND_0109010-t26_1-p1																																										
OG0015459	BBBOND_0109060-t26_1-p1																																										
OG0015460	BBBOND_0109080-t26_1-p1																																										
OG0015461	BBBOND_0109090-t26_1-p1																																										
OG0015462	BBBOND_0109110-t26_1-p1																																										
OG0015463	BBBOND_0109230-t26_1-p1																																										
OG0015464	BBBOND_0109240-t26_1-p1																																										
OG0015465	BBBOND_0109300-t26_1-p1																																										
OG0015466	BBBOND_0109480-t26_1-p1																																										
OG0015467	BBBOND_0109500-t26_1-p1																																										
OG0015468	BBBOND_0109560-t26_1-p1																																										
OG0015469	BBBOND_0109570-t26_1-p1																																										
OG0015470	BBBOND_0109590-t26_1-p1																																										
OG0015471	BBBOND_0109890-t26_1-p1																																										
OG0015472	BBBOND_0109910-t26_1-p1																																										
OG0015473	BBBOND_0109920-t26_1-p1																																										
OG0015474	BBBOND_0109930-t26_1-p1																																										
OG0015475	BBBOND_0109950-t26_1-p1																																										
OG0015476	BBBOND_0110110-t26_1-p1																																										
OG0015477	BBBOND_0110150-t26_1-p1																																										
OG0015478	BBBOND_0110160-t26_1-p1																																										
OG0015479	BBBOND_0110170-t26_1-p1																																										
OG0015480	BBBOND_0110190-t26_1-p1																																										
OG0015481	BBBOND_0110240-t26_1-p1																																										
OG0015482	BBBOND_0110260-t26_1-p1																																										
OG0015483	BBBOND_0110630-t26_1-p1																																										
OG0015484	BBBOND_0110740-t26_1-p1																																										
OG0015485	BBBOND_0110780-t26_1-p1																																										
OG0015486	BBBOND_0110900-t26_1-p1																																										
OG0015487	BBBOND_0111020-t26_1-p1																																										
OG0015488	BBBOND_0111170-t26_1-p1																																										
OG0015489	BBBOND_0111340-t26_1-p1																																										
OG0015490	BBBOND_0111350-t26_1-p1																																										
OG0015491	BBBOND_0111400-t26_1-p1																																										
OG0015492	BBBOND_0200090-t26_1-p1																																										
OG0015493	BBBOND_0200100-t26_1-p1																																										
OG0015494	BBBOND_0200110-t26_1-p1																																										
OG0015495	BBBOND_0200170-t26_1-p1																																										
OG0015496	BBBOND_0200290-t26_1-p1																																										
OG0015497	BBBOND_0200420-t26_1-p1																																										
OG0015498	BBBOND_0200520-t26_1-p1																																										
OG0015499	BBBOND_0200680-t26_1-p1																																										
OG0015500	BBBOND_0200690-t26_1-p1																																										
OG0015501	BBBOND_0200700-t26_1-p1																																										
