,Species Group,Number of Orthogroups,Number of genes,Sequence Name,Sequence Length,GOID,Gocount,Goterm,Gocategory,tophitGI,tophitaccession,List of orthogroups
1,P.cynomolgi,5,29,NA,NA,NA,NA,NA,NA,NA,NA,"""OG0005911"" ""OG0006403"" ""OG0009124"" ""OG0015135"" ""OG0015141"""
2,NA,NA,NA,PCYB_125970-t26_1-p1,523,GO:0016021,1,integral component of membrane,Cellular Component,457874449;389585300,XP_004223978;GAB68031,NA
3,NA,NA,NA,PCYB_001030-t26_1-p1,217,,NA,,,389586627;457879220,XP_004228304;GAB69355,NA
4,NA,NA,NA,PCYB_001260-t26_1-p1,217,,NA,,,389560460;457873596,GAB69378;XP_004227604,NA
5,NA,NA,NA,PCYB_002990-t26_1-p1,352,,NA,,,389560821;457874917,XP_004227768;GAB69550,NA
6,NA,NA,NA,PCYB_003050-t26_1-p1,274,,NA,,,389560836;457874967,XP_004227774;GAB69556,NA
7,NA,NA,NA,PCYB_003260-t26_1-p1,404,,NA,,,457875135;389560899,XP_004227795;GAB69577,NA
8,NA,NA,NA,PCYB_003360-t26_1-p1,398,,NA,,,457875229;389560929,XP_004227805;GAB69587,NA
9,NA,NA,NA,PCYB_003550-t26_1-p1,438,,NA,,,389560984;457875420,GAB69606;XP_004227824,NA
10,NA,NA,NA,PCYB_004260-t26_1-p1,305,,NA,,,457876072;389561212,XP_004227895;GAB69677,NA
11,NA,NA,NA,PCYB_004460-t26_1-p1,405,,NA,,,389561266;457876262,XP_004227915;GAB69697,NA
12,NA,NA,NA,PCYB_004670-t26_1-p1,238,,NA,,,457876434;389561332,XP_004227936;GAB69718,NA
13,NA,NA,NA,PCYB_004890-t26_1-p1,102,,NA,,,389561409;457876656,GAB69740;XP_004227958,NA
14,NA,NA,NA,PCYB_004900-t26_1-p1,449,GO:0016020,1,membrane,Cellular Component,457876667;389561412,XP_004227959;GAB69741,NA
15,NA,NA,NA,PCYB_004920-t26_1-p1,220,,NA,,,457876683;389561423,XP_004227961;GAB69743,NA
16,NA,NA,NA,PCYB_005260-t26_1-p1,199,,NA,,,457876971;389561546,XP_004227995;GAB69777,NA
17,NA,NA,NA,PCYB_005320-t26_1-p1,128,GO:0016020,1,membrane,Cellular Component,389561562;457877025,XP_004228001;GAB69783,NA
18,NA,NA,NA,PCYB_005360-t26_1-p1,169,,NA,,,457877065;389561573,XP_004228005;GAB69787,NA
19,NA,NA,NA,PCYB_005450-t26_1-p1,235,,NA,,,457877146;389561601,XP_004228014;GAB69796,NA
20,NA,NA,NA,PCYB_005460-t26_1-p1,360,GO:0016021,1,integral component of membrane,Cellular Component,457877153;389561603,XP_004228015;GAB69797,NA
21,NA,NA,NA,PCYB_005480-t26_1-p1,299,,NA,,,389561613;457877171,GAB69799;XP_004228017,NA
22,NA,NA,NA,PCYB_005490-t26_1-p1,187,GO:0016020,1,membrane,Cellular Component,457877176;389561616,XP_004228018;GAB69800,NA
