,Species Group,Number of Orthogroups,Number of genes,List of orthogroups,Sequence Name,Sequence Length,GOID,GOcount,GOterm,GOcategory,tophitGI,tophitaccession,Blast.Top.Hit.HSPs.Description,Blast.Top.Hit.E.Value,Blast.Top.Hit.Similarity,Interpro.Accession,Interpro.Type,Interpro.Name
1,P.cynomolgi,5,29,"""OG0005911"" ""OG0006403"" ""OG0009124"" ""OG0015135"" ""OG0015141""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,PCYB_125970-t26_1-p1,523,GO:0016021,1,integral component of membrane,Cellular Component,457874449;389585300,XP_004223978;GAB68031,gi|389585300|dbj|GAB68031.1|hypothetical protein PCYB_125970 [Plasmodium cynomolgi strain B]/gi|457874449|ref|XP_004223978.1|hypothetical protein PCYB_125970 [Plasmodium cynomolgi strain B],0,100.00%,noIPR,FAMILY,Plasmodium vivax Vir
3,NA,NA,NA,NA,PCYB_001030-t26_1-p1,217,,NA,,,389586627;457879220,XP_004228304;GAB69355,gi|389586627|dbj|GAB69355.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457879220|ref|XP_004228304.1|CYIR protein [Plasmodium cynomolgi strain B],3.80E-157,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
4,NA,NA,NA,NA,PCYB_001260-t26_1-p1,217,,NA,,,389560460;457873596,GAB69378;XP_004227604,gi|389560460|dbj|GAB69378.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457873596|ref|XP_004227604.1|CYIR protein [Plasmodium cynomolgi strain B],4.40E-157,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
5,NA,NA,NA,NA,PCYB_002990-t26_1-p1,352,,NA,,,389560821;457874917,XP_004227768;GAB69550,gi|389560821|dbj|GAB69550.1|hypothetical protein PCYB_002990 [Plasmodium cynomolgi strain B]/gi|457874917|ref|XP_004227768.1|hypothetical protein PCYB_002990 [Plasmodium cynomolgi strain B],0,100.00%,noIPR;noIPR,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
6,NA,NA,NA,NA,PCYB_003050-t26_1-p1,274,,NA,,,389560836;457874967,XP_004227774;GAB69556,"gi|389560836|dbj|GAB69556.1|hypothetical protein PCYB_003050, partial [Plasmodium cynomolgi strain B]/gi|457874967|ref|XP_004227774.1|hypothetical protein PCYB_003050, partial [Plasmodium cynomolgi strain B]",0,100.00%,noIPR;IPR008780,FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir
7,NA,NA,NA,NA,PCYB_003260-t26_1-p1,404,,NA,,,457875135;389560899,XP_004227795;GAB69577,gi|457875135|ref|XP_004227795.1|hypothetical protein PCYB_003260 [Plasmodium cynomolgi strain B]/gi|389560899|dbj|GAB69577.1|hypothetical protein PCYB_003260 [Plasmodium cynomolgi strain B],0,100.00%,noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
8,NA,NA,NA,NA,PCYB_003360-t26_1-p1,398,,NA,,,457875229;389560929,XP_004227805;GAB69587,gi|457875229|ref|XP_004227805.1|hypothetical protein PCYB_003360 [Plasmodium cynomolgi strain B]/gi|389560929|dbj|GAB69587.1|hypothetical protein PCYB_003360 [Plasmodium cynomolgi strain B],0,100.00%,noIPR,FAMILY,Plasmodium vivax Vir
9,NA,NA,NA,NA,PCYB_003550-t26_1-p1,438,,NA,,,389560984;457875420,GAB69606;XP_004227824,gi|389560984|dbj|GAB69606.1|hypothetical protein PCYB_003550 [Plasmodium cynomolgi strain B]/gi|457875420|ref|XP_004227824.1|hypothetical protein PCYB_003550 [Plasmodium cynomolgi strain B],0,100.00%,noIPR;noIPR,DOMAIN;DOMAIN,"Tryptophan/threonine-rich plasmodium antigen, C-terminal;Tryptophan/threonine-rich plasmodium antigen, C-terminal"
10,NA,NA,NA,NA,PCYB_004260-t26_1-p1,305,,NA,,,457876072;389561212,XP_004227895;GAB69677,gi|457876072|ref|XP_004227895.1|hypothetical protein PCYB_004260 [Plasmodium cynomolgi strain B]/gi|389561212|dbj|GAB69677.1|hypothetical protein PCYB_004260 [Plasmodium cynomolgi strain B],0,100.00%,IPR008780;noIPR;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
11,NA,NA,NA,NA,PCYB_004460-t26_1-p1,405,,NA,,,389561266;457876262,XP_004227915;GAB69697,gi|389561266|dbj|GAB69697.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457876262|ref|XP_004227915.1|CYIR protein [Plasmodium cynomolgi strain B],0,100.00%,noIPR;IPR008780;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
12,NA,NA,NA,NA,PCYB_004670-t26_1-p1,238,,NA,,,457876434;389561332,XP_004227936;GAB69718,gi|389561332|dbj|GAB69718.1|hypothetical protein PCYB_004670 [Plasmodium cynomolgi strain B]/gi|457876434|ref|XP_004227936.1|hypothetical protein PCYB_004670 [Plasmodium cynomolgi strain B],1.70E-172,100.00%,noIPR,FAMILY,Plasmodium vivax Vir
13,NA,NA,NA,NA,PCYB_004890-t26_1-p1,102,,NA,,,389561409;457876656,GAB69740;XP_004227958,"gi|457876656|ref|XP_004227958.1|hypothetical protein PCYB_004890, partial [Plasmodium cynomolgi strain B]/gi|389561409|dbj|GAB69740.1|hypothetical protein PCYB_004890, partial [Plasmodium cynomolgi strain B]",1.50E-68,100.00%,,,
14,NA,NA,NA,NA,PCYB_004900-t26_1-p1,449,GO:0016020,1,membrane,Cellular Component,457876667;389561412,XP_004227959;GAB69741,"gi|389561412|dbj|GAB69741.1|CYIR protein, partial [Plasmodium cynomolgi strain B]/gi|457876667|ref|XP_004227959.1|CYIR protein, partial [Plasmodium cynomolgi strain B]",0,100.00%,noIPR;IPR008780;noIPR;noIPR;noIPR,FAMILY;FAMILY;FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
15,NA,NA,NA,NA,PCYB_004920-t26_1-p1,220,,NA,,,457876683;389561423,XP_004227961;GAB69743,"gi|389561423|dbj|GAB69743.1|hypothetical protein PCYB_004920, partial [Plasmodium cynomolgi strain B]/gi|457876683|ref|XP_004227961.1|hypothetical protein PCYB_004920, partial [Plasmodium cynomolgi strain B]",1.50E-161,100.00%,IPR008780;noIPR;noIPR,FAMILY;FAMILY;FAMILY,Plasmodium vivax Vir;Plasmodium vivax Vir;Plasmodium vivax Vir
16,NA,NA,NA,NA,PCYB_005260-t26_1-p1,199,,NA,,,457876971;389561546,XP_004227995;GAB69777,"gi|389561546|dbj|GAB69777.1|hypothetical protein PCYB_005260, partial [Plasmodium cynomolgi strain B]/gi|457876971|ref|XP_004227995.1|hypothetical protein PCYB_005260, partial [Plasmodium cynomolgi strain B]",1.30E-143,100.00%,IPR008780,FAMILY,Plasmodium vivax Vir
17,NA,NA,NA,NA,PCYB_005320-t26_1-p1,128,GO:0016020,1,membrane,Cellular Component,389561562;457877025,XP_004228001;GAB69783,gi|389561562|dbj|GAB69783.1|CYIR protein [Plasmodium cynomolgi strain B]/gi|457877025|ref|XP_004228001.1|CYIR protein [Plasmodium cynomolgi strain B],3.20E-88,100.00%,,,
