,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
P.cynomolgi,,,,,,,,,,,,,,,
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",PCYB_125970-t26_1-p1,hypothetical protein PCYB_125970,523,1,0,100,1,C:GO:0016021,C:integral component of membrane,,,Coil (COILS),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED]",PCYB_001030-t26_1-p1,CYIR protein,217,20,3.32E-157,61.27,2,C:GO:0016020; C:GO:0016021,C:membrane; C:integral component of membrane,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED]",PCYB_001260-t26_1-p1,CYIR protein,217,20,3.87E-157,61.51,2,C:GO:0016020; C:GO:0016021,C:membrane; C:integral component of membrane,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PCYB_002990-t26_1-p1,hypothetical protein PCYB_002990,352,4,0,73.43,,,,,,Coil (COILS); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED]",PCYB_003050-t26_1-p1,PIR protein,274,20,0,64.01,2,C:GO:0016020; C:GO:0016021,C:membrane; C:integral component of membrane,,,Coil (COILS); IPR008780 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",PCYB_003260-t26_1-p1,hypothetical protein PCYB_003260,404,3,0,80.45,,,,,,Coil (COILS); Coil (COILS); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED]",PCYB_003360-t26_1-p1,protein kinase subdomain-containing protein,398,4,0,79.93,2,F:GO:0016301; P:GO:0016310,F:kinase activity; P:phosphorylation,,,Coil (COILS),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED]",PCYB_003550-t26_1-p1,VIR protein,438,20,0,53.16,2,C:GO:0016020; C:GO:0016021,C:membrane; C:integral component of membrane,,,mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED]",PCYB_004260-t26_1-p1,PIR protein,305,20,0,56.16,2,C:GO:0016020; C:GO:0016021,C:membrane; C:integral component of membrane,,,IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED]",PCYB_004460-t26_1-p1,CYIR protein,405,20,0,65.31,2,C:GO:0016020; C:GO:0016021,C:membrane; C:integral component of membrane,,,Coil (COILS); IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED]",PCYB_004670-t26_1-p1,CYIR protein,238,20,1.46E-172,63.68,2,C:GO:0016020; C:GO:0016021,C:membrane; C:integral component of membrane,,,mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED]",PCYB_004890-t26_1-p1,CYIR protein,102,20,1.31E-68,71.92,2,C:GO:0016020; C:GO:0016021,C:membrane; C:integral component of membrane,,,no IPS match,no IPS match,no IPS match
TRUE,[INTERPRO],PCYB_004900-t26_1-p1,| transcript=PCYB_004900-t26_1 | gene=PCYB_004900 | organism=Plasmodium_cynomolgi_strain_B | gene_product=CYIR protein | transcript_product=CYIR protein | location=DF157713:262-1713(-) | protein_length=449 | sequence_SO=supercontig | SO=protein_coding,449,,,,,,,,,Coil (COILS); IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,[INTERPRO],PCYB_004920-t26_1-p1,| transcript=PCYB_004920-t26_1 | gene=PCYB_004920 | organism=Plasmodium_cynomolgi_strain_B | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=DF157722:248-907(-) | protein_length=220 | sequence_SO=supercontig | SO=protein_coding,220,,,,,,,,,Coil (COILS); IPR008780 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,[INTERPRO],PCYB_005260-t26_1-p1,| transcript=PCYB_005260-t26_1 | gene=PCYB_005260 | organism=Plasmodium_cynomolgi_strain_B | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=DF157811:10-606(+) | protein_length=199 | sequence_SO=supercontig | SO=protein_coding,199,,,,,,,,,IPR008780 (PFAM),no GO terms,no GO terms
TRUE,[INTERPRO],PCYB_005320-t26_1-p1,| transcript=PCYB_005320-t26_1 | gene=PCYB_005320 | organism=Plasmodium_cynomolgi_strain_B | gene_product=CYIR protein | transcript_product=CYIR protein | location=DF157821:684-1141(+) | protein_length=128 | sequence_SO=supercontig | SO=protein_coding,128,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,[INTERPRO],PCYB_005360-t26_1-p1,| transcript=PCYB_005360-t26_1 | gene=PCYB_005360 | organism=Plasmodium_cynomolgi_strain_B | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=DF157828:852-1358(+) | protein_length=169 | sequence_SO=supercontig | SO=protein_coding,169,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,[INTERPRO],PCYB_005450-t26_1-p1,| transcript=PCYB_005450-t26_1 | gene=PCYB_005450 | organism=Plasmodium_cynomolgi_strain_B | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=DF157847:810-1517(-) | protein_length=235 | sequence_SO=supercontig | SO=protein_coding,235,,,,,,,,,no IPS match,no IPS match,no IPS match
